meeting_id,meeting_type,date,duration_minutes,num_participants,transcript,transcript_length,num_utterances,avg_sentiment,sentiment_std,agenda_clear,on_time_start,stayed_on_topic,avg_speaking_time,participation_balance,questions_asked,action_items,decisions_made,usefulness_rating,action_completion_rate,effectiveness_score
MTG00304,Retrospective,2025-06-12,50,3,Here are the key metrics from last week. This solution addresses our concerns perfectly. I'm excited about this direction. Let's move forward. We have three items on the agenda today. Here are the key metrics from last week. I disagree with this direction completely. We should have resolved this weeks ago. I appreciate everyone's input today. Excellent point. I hadn't considered that. Let's move to the next topic. We have three items on the agenda today. Can everyone see the presentation? I disa...,865,22,0.529,0.209,1,1,0.697,16.67,0.895,1,3,2,4.2,0.679,77.4
MTG00305,All-Hands,2025-07-14,70,58,That's a really innovative approach. This is exactly what we need. Well done. Let me share my screen to show the data. The project timeline is on track. This doesn't align with our objectives. I think we've reached a good decision here. We're making great progress on this. Excellent point. I hadn't considered that. We should have resolved this weeks ago. I'm excited about this direction. Let's move forward. The project timeline is on track. Here are the key metrics from last week. I appreciate e...,1594,38,0.586,0.252,1,0,0.746,1.21,0.874,17,5,3,3.6,0.529,73.5
MTG00306,Standup,2025-09-19,2,4,Excellent point. I hadn't considered that. Can everyone see the presentation? We're making great progress on this. We're making great progress on this. That's a really innovative approach....,188,5,0.674,0.175,0,1,0.534,0.5,0.912,3,4,1,3.5,0.491,58.5
MTG00307,Status Update,2025-07-22,13,5,Let me share my screen to show the data. Excellent point. I hadn't considered that. This is exactly what we need. Well done. Can everyone see the presentation? The deadline for this is next Friday. I'm not sure this is the right approach. We're going in circles on this topic. I'm excited about this direction. Let's move forward. That's a really innovative approach. The deadline for this is next Friday. Let me share my screen to show the data. We should have resolved this weeks ago. I'm not sure ...,796,19,0.529,0.254,0,1,0.656,2.6,0.873,1,2,3,2.9,0.423,54.1
MTG00308,Status Update,2025-08-06,5,7,We have three items on the agenda today. I'll send out the meeting notes later. This is exactly what we need. Well done. Excellent point. I hadn't considered that. We have three items on the agenda today. I think we've reached a good decision here. The project timeline is on track. We have three items on the agenda today. The project timeline is on track. Here are the key metrics from last week. That's a really innovative approach. I'm excited about this direction. Let's move forward. We should ...,649,16,0.579,0.201,0,1,0.855,0.71,0.9,5,5,1,3.7,0.475,66.5
MTG00309,Retrospective,2025-08-19,27,3,I think we've reached a good decision here. I appreciate everyone's input today. I'm concerned about the timeline here. I appreciate everyone's input today. Excellent point. I hadn't considered that. This is exactly what we need. Well done. I agree with this approach. It makes sense. This doesn't align with our objectives. Excellent point. I hadn't considered that. Can everyone see the presentation? We're making great progress on this. I'll send out the meeting notes later. I'm excited about thi...,762,19,0.544,0.179,1,0,0.713,9.0,0.911,2,7,2,3.7,0.714,72.4
MTG00310,Decision-Making,2025-06-21,31,4,We're making great progress on this. Excellent point. I hadn't considered that. I'm excited about this direction. Let's move forward. The deadline for this is next Friday. This solution addresses our concerns perfectly. We should have resolved this weeks ago. Let's move to the next topic. I'm excited about this direction. Let's move forward. I'm not sure this is the right approach. This meeting could have been an email. I'm not sure this is the right approach. Great idea! Let's explore that furt...,861,21,0.566,0.188,1,1,0.771,7.75,0.906,2,4,0,4.4,0.705,82.2
MTG00311,One-on-One,2025-07-31,12,2,I appreciate everyone's input today. I'm excited about this direction. Let's move forward. Can everyone see the presentation? I agree with this approach. It makes sense. I'll take the action item to follow up. Can everyone see the presentation? Excellent point. I hadn't considered that. This is exactly what we need. Well done. We should schedule a follow-up meeting....,368,9,0.648,0.246,1,0,0.843,6.0,0.877,0,3,3,3.9,0.631,73.2
MTG00312,Decision-Making,2025-05-27,40,5,Let me share my screen to show the data. Can everyone see the presentation? I agree with this approach. It makes sense. We should have resolved this weeks ago. We should schedule a follow-up meeting. I'll send out the meeting notes later. Let's move to the next topic. I'll send out the meeting notes later. I agree with this approach. It makes sense. The deadline for this is next Friday. Can everyone see the presentation? The project timeline is on track. We've discussed this several times alread...,935,24,0.447,0.155,1,1,0.445,8.0,0.922,3,4,4,4.2,0.598,71.9
MTG00313,Planning,2025-07-28,35,4,I'm excited about this direction. Let's move forward. Let's move to the next topic. This meeting could have been an email. We have three items on the agenda today. We've discussed this several times already. This is exactly what we need. Well done. I'm concerned about the timeline here. I disagree with this direction completely. The deadline for this is next Friday. I think we've reached a good decision here. I appreciate everyone's input today. Let's move to the next topic. We're making great p...,736,19,0.444,0.203,0,1,0.951,8.75,0.898,3,2,2,3.3,0.537,60.1
MTG00314,Brainstorming,2025-09-18,45,5,I appreciate everyone's input today. This solution addresses our concerns perfectly. The deadline for this is next Friday. This seems like a waste of time honestly. I appreciate everyone's input today. I think we've reached a good decision here. Excellent point. I hadn't considered that. Great idea! Let's explore that further. I'm not sure this is the right approach. The project timeline is on track. I think we've reached a good decision here. Excellent point. I hadn't considered that. We have t...,861,21,0.571,0.231,1,1,0.806,9.0,0.885,0,0,2,3.9,,74.9
MTG00315,Brainstorming,2025-09-30,34,6,I don't think we have enough information to decide. The deadline for this is next Friday. Here are the key metrics from last week. I agree with this approach. It makes sense. Great idea! Let's explore that further. The project timeline is on track. I appreciate everyone's input today. We're making great progress on this. We're making great progress on this. I agree with this approach. It makes sense. I'll take the action item to follow up. Excellent point. I hadn't considered that. Excellent poi...,713,17,0.62,0.22,1,1,0.702,5.67,0.89,4,2,1,3.7,0.617,77.3
MTG00316,Standup,2025-07-20,24,3,Here are the key metrics from last week. I'm concerned about the timeline here. Can everyone see the presentation? Excellent point. I hadn't considered that. I'll send out the meeting notes later. This doesn't align with our objectives. I'll send out the meeting notes later. The deadline for this is next Friday. Great idea! Let's explore that further. I'm excited about this direction. Let's move forward. We're going in circles on this topic. Excellent point. I hadn't considered that. This meetin...,658,16,0.563,0.224,0,1,0.639,8.0,0.888,1,3,2,3.5,0.456,56.5
MTG00317,One-on-One,2025-10-17,29,2,We should have resolved this weeks ago. The deadline for this is next Friday. Let's move to the next topic. This seems like a waste of time honestly. Excellent point. I hadn't considered that. This seems like a waste of time honestly. I'll send out the meeting notes later. Here are the key metrics from last week. I'm excited about this direction. Let's move forward. We have three items on the agenda today. We have three items on the agenda today. I disagree with this direction completely. Let me...,574,14,0.499,0.227,1,1,0.694,14.5,0.886,1,2,4,4.0,0.726,74.6
MTG00318,Decision-Making,2025-09-08,45,4,This solution addresses our concerns perfectly. This meeting could have been an email. Here are the key metrics from last week. Great idea! Let's explore that further. Let me share my screen to show the data. We're going in circles on this topic. That's a really innovative approach. I think we've reached a good decision here. This seems like a waste of time honestly. Can everyone see the presentation? I'll send out the meeting notes later. Let's move to the next topic. This is exactly what we ne...,1065,27,0.559,0.222,1,1,0.784,11.25,0.889,1,4,4,4.6,0.763,82.1
MTG00319,Status Update,2025-10-02,29,5,We have three items on the agenda today. I don't think we have enough information to decide. I'm not sure this is the right approach. The deadline for this is next Friday. We should have resolved this weeks ago. Can everyone see the presentation? Let's move to the next topic. This seems like a waste of time honestly. Can everyone see the presentation? Can everyone see the presentation? I think we've reached a good decision here. Can everyone see the presentation? The project timeline is on track...,722,18,0.464,0.187,1,1,0.56,5.8,0.906,1,3,3,3.8,0.682,72.9
MTG00320,Standup,2025-06-18,3,3,We should schedule a follow-up meeting. Great idea! Let's explore that further. I'm concerned about the timeline here. This is exactly what we need. Well done. Let me share my screen to show the data. I'll take the action item to follow up. This is exactly what we need. Well done. I'm not sure this is the right approach. We should have resolved this weeks ago. Can everyone see the presentation? This doesn't align with our objectives. We should schedule a follow-up meeting. I'll send out the meet...,641,16,0.537,0.193,1,1,0.554,1.0,0.904,2,1,0,3.9,0.651,70.1
MTG00321,One-on-One,2025-08-08,15,2,We're making great progress on this. We should schedule a follow-up meeting. We should schedule a follow-up meeting. I agree with this approach. It makes sense. The deadline for this is next Friday. We have three items on the agenda today. Let's move to the next topic. We have three items on the agenda today. I'm concerned about the timeline here. I'm excited about this direction. Let's move forward. The deadline for this is next Friday. The deadline for this is next Friday. The project timeline...,713,18,0.485,0.198,0,1,0.641,7.5,0.901,0,4,2,3.1,0.511,57.2
MTG00322,Planning,2025-06-26,133,4,The deadline for this is next Friday. I appreciate everyone's input today. We have three items on the agenda today. I'll take the action item to follow up. We should have resolved this weeks ago. I agree with this approach. It makes sense. I don't think we have enough information to decide. Let me share my screen to show the data. Can everyone see the presentation? We have three items on the agenda today. I'll send out the meeting notes later. I don't think we have enough information to decide. ...,2401,58,0.505,0.211,1,0,0.696,33.25,0.894,1,2,3,3.7,0.574,64.9
MTG00323,Brainstorming,2025-05-16,38,5,This is exactly what we need. Well done. This solution addresses our concerns perfectly. We have three items on the agenda today. This solution addresses our concerns perfectly. The project timeline is on track. I'll take the action item to follow up. We should schedule a follow-up meeting. We're making great progress on this. I'll send out the meeting notes later. We're making great progress on this. I'm excited about this direction. Let's move forward. I think we've reached a good decision her...,1064,26,0.563,0.176,1,1,0.838,7.6,0.912,1,4,0,4.1,0.795,83.9
MTG00324,Review,2025-05-26,43,3,This is exactly what we need. Well done. We should schedule a follow-up meeting. The project timeline is on track. The project timeline is on track. We have three items on the agenda today. We're going in circles on this topic. We're making great progress on this. I appreciate everyone's input today. We've discussed this several times already. We're making great progress on this. Can everyone see the presentation? The deadline for this is next Friday. This is exactly what we need. Well done. I'm...,1157,29,0.597,0.19,1,0,0.718,14.33,0.905,0,1,1,3.9,0.591,65.5
MTG00325,One-on-One,2025-05-22,26,2,Can everyone see the presentation? I don't think we have enough information to decide. Can everyone see the presentation? Here are the key metrics from last week. We have three items on the agenda today. That's a really innovative approach. I'm not sure this is the right approach. We have three items on the agenda today. We should schedule a follow-up meeting. This doesn't align with our objectives. The deadline for this is next Friday. I'll send out the meeting notes later. Great idea! Let's ex...,877,22,0.549,0.162,1,0,0.677,13.0,0.919,0,2,2,3.6,0.463,65.7
MTG00326,Decision-Making,2025-09-21,17,4,The deadline for this is next Friday. We've discussed this several times already. Here are the key metrics from last week. I'm excited about this direction. Let's move forward. We've discussed this several times already. I'll send out the meeting notes later. The project timeline is on track. Great idea! Let's explore that further. Great idea! Let's explore that further. This seems like a waste of time honestly. I agree with this approach. It makes sense. I'm not sure this is the right approach....,540,13,0.488,0.176,1,0,0.822,4.25,0.912,1,2,1,4.1,0.644,68.0
MTG00327,One-on-One,2025-07-13,31,2,I think we've reached a good decision here. We're making great progress on this. Can everyone see the presentation? I think we've reached a good decision here. This meeting could have been an email. This solution addresses our concerns perfectly. I'll send out the meeting notes later. I'm excited about this direction. Let's move forward. I agree with this approach. It makes sense. This is exactly what we need. Well done. This doesn't align with our objectives. Great idea! Let's explore that furt...,872,21,0.54,0.19,1,1,0.848,15.5,0.905,1,3,0,4.4,0.611,81.6
MTG00328,Status Update,2025-05-31,21,20,Excellent point. I hadn't considered that. We have three items on the agenda today. Can everyone see the presentation? We should schedule a follow-up meeting. This is exactly what we need. Well done. We're making great progress on this. I appreciate everyone's input today. I'm not sure this is the right approach. I agree with this approach. It makes sense. This is exactly what we need. Well done. This is exactly what we need. Well done. We're making great progress on this. We should schedule a f...,787,20,0.623,0.21,1,0,0.768,1.05,0.895,10,1,1,3.9,0.574,67.1
MTG00329,Status Update,2025-10-25,11,5,Let me share my screen to show the data. I agree with this approach. It makes sense. I appreciate everyone's input today. This seems like a waste of time honestly. We're making great progress on this. This meeting could have been an email. I think we've reached a good decision here. That's a really innovative approach. I'm excited about this direction. Let's move forward. Let me share my screen to show the data. We should have resolved this weeks ago. I'll send out the meeting notes later. We sh...,534,13,0.487,0.221,1,1,0.739,2.2,0.89,1,4,2,4.1,0.598,79.6
MTG00330,All-Hands,2025-06-09,31,84,We should schedule a follow-up meeting. I'll take the action item to follow up. Let me share my screen to show the data. That's a really innovative approach. Great idea! Let's explore that further. I'll send out the meeting notes later. Here are the key metrics from last week. I don't think we have enough information to decide. The project timeline is on track. I agree with this approach. It makes sense. Can everyone see the presentation? This seems like a waste of time honestly. We should have ...,955,24,0.54,0.22,1,1,0.647,0.37,0.89,23,5,0,4.3,0.74,80.3
MTG00331,Decision-Making,2025-07-18,19,4,That's a really innovative approach. I'll take the action item to follow up. I think we've reached a good decision here. Let's move to the next topic. I think we've reached a good decision here. We're making great progress on this. The deadline for this is next Friday. I'm excited about this direction. Let's move forward. I appreciate everyone's input today. I appreciate everyone's input today. This solution addresses our concerns perfectly. We're making great progress on this. This is exactly w...,567,14,0.626,0.175,1,1,0.728,4.75,0.913,2,1,1,4.0,0.746,76.4
MTG00332,Review,2025-08-27,32,12,We should schedule a follow-up meeting. The deadline for this is next Friday. This is exactly what we need. Well done. I'll take the action item to follow up. This doesn't align with our objectives. I think we've reached a good decision here. We're making great progress on this. I agree with this approach. It makes sense. I appreciate everyone's input today. We should schedule a follow-up meeting. I'm excited about this direction. Let's move forward. I'll take the action item to follow up. I'm c...,652,16,0.556,0.167,1,0,0.786,2.67,0.917,3,3,3,4.2,0.613,70.5
MTG00333,Decision-Making,2025-09-02,78,4,The deadline for this is next Friday. This doesn't align with our objectives. The project timeline is on track. Let me share my screen to show the data. I agree with this approach. It makes sense. Let's move to the next topic. I appreciate everyone's input today. We have three items on the agenda today. I think we've reached a good decision here. Excellent point. I hadn't considered that. I agree with this approach. It makes sense. I disagree with this direction completely. I'm concerned about t...,1408,36,0.507,0.209,1,1,0.853,19.5,0.895,2,2,4,4.7,0.635,78.9
MTG00334,Standup,2025-05-30,1,3,Excellent point. I hadn't considered that. This solution addresses our concerns perfectly. This is exactly what we need. Well done. I'm excited about this direction. Let's move forward. We should schedule a follow-up meeting. The project timeline is on track....,259,6,0.646,0.233,1,1,0.608,0.33,0.883,0,4,4,3.5,0.673,79.4
MTG00335,One-on-One,2025-10-13,16,2,This solution addresses our concerns perfectly. Let's move to the next topic. The deadline for this is next Friday. I agree with this approach. It makes sense. Excellent point. I hadn't considered that. We're making great progress on this. I appreciate everyone's input today. Great idea! Let's explore that further. I'm concerned about the timeline here. We should schedule a follow-up meeting. This solution addresses our concerns perfectly. I'm excited about this direction. Let's move forward....,497,12,0.567,0.151,1,1,0.738,8.0,0.925,0,3,1,3.8,0.69,79.7
MTG00336,All-Hands,2025-09-25,48,48,We're going in circles on this topic. This solution addresses our concerns perfectly. This seems like a waste of time honestly. This solution addresses our concerns perfectly. I'm concerned about the timeline here. The deadline for this is next Friday. That's a really innovative approach. I'll send out the meeting notes later. Excellent point. I hadn't considered that. The deadline for this is next Friday. I appreciate everyone's input today. I'll send out the meeting notes later. I appreciate e...,889,22,0.559,0.201,1,1,0.831,1.0,0.9,21,4,2,4.9,0.734,83.4
MTG00337,Retrospective,2025-08-13,22,3,This seems like a waste of time honestly. This is exactly what we need. Well done. This seems like a waste of time honestly. Let me share my screen to show the data. I'll send out the meeting notes later. Let me share my screen to show the data. This is exactly what we need. Well done. Here are the key metrics from last week. Let me share my screen to show the data. That's a really innovative approach. We're going in circles on this topic. This seems like a waste of time honestly. I appreciate e...,673,17,0.536,0.18,1,1,0.582,7.33,0.91,1,1,1,3.8,0.646,70.9
MTG00338,Planning,2025-08-28,65,4,This meeting could have been an email. This doesn't align with our objectives. I appreciate everyone's input today. We should have resolved this weeks ago. Excellent point. I hadn't considered that. The project timeline is on track. I think we've reached a good decision here. Here are the key metrics from last week. We should have resolved this weeks ago. Let's move to the next topic. I'll send out the meeting notes later. I'm concerned about the timeline here. Can everyone see the presentation?...,1310,34,0.539,0.221,0,1,0.645,16.25,0.89,1,4,0,3.5,0.559,58.2
MTG00339,Brainstorming,2025-09-07,67,5,I'll send out the meeting notes later. The project timeline is on track. We have three items on the agenda today. Let me share my screen to show the data. This solution addresses our concerns perfectly. Can everyone see the presentation? I disagree with this direction completely. Let's move to the next topic. I agree with this approach. It makes sense. Let me share my screen to show the data. We have three items on the agenda today. We're making great progress on this. Can everyone see the prese...,1242,31,0.487,0.187,0,1,0.752,13.4,0.907,1,4,0,3.2,0.488,60.1
MTG00340,Retrospective,2025-08-16,32,3,I think we've reached a good decision here. I'm concerned about the timeline here. I don't think we have enough information to decide. We're making great progress on this. We have three items on the agenda today. The deadline for this is next Friday. This seems like a waste of time honestly. I appreciate everyone's input today. We've discussed this several times already. We have three items on the agenda today. Great idea! Let's explore that further. I'll send out the meeting notes later. This d...,922,23,0.534,0.222,1,1,0.512,10.67,0.889,1,2,0,3.9,0.567,70.8
MTG00341,Status Update,2025-09-01,27,15,We're making great progress on this. I appreciate everyone's input today. We should schedule a follow-up meeting. We're making great progress on this. I'll send out the meeting notes later. The deadline for this is next Friday. This doesn't align with our objectives. That's a really innovative approach. The deadline for this is next Friday. We should schedule a follow-up meeting. We should schedule a follow-up meeting. This is exactly what we need. Well done. I disagree with this direction compl...,921,23,0.553,0.216,1,1,0.902,1.8,0.892,3,6,2,4.6,0.865,87.0
MTG00342,Status Update,2025-10-10,23,5,Let's move to the next topic. This meeting could have been an email. Can everyone see the presentation? Let me share my screen to show the data. That's a really innovative approach. This is exactly what we need. Well done. We've discussed this several times already. Let's move to the next topic. I'm excited about this direction. Let's move forward. This solution addresses our concerns perfectly. We're going in circles on this topic. We're going in circles on this topic. We should schedule a foll...,514,13,0.504,0.193,1,1,0.868,4.6,0.904,2,5,1,4.1,0.801,85.3
MTG00343,Planning,2025-10-02,86,4,I think we've reached a good decision here. I appreciate everyone's input today. Great idea! Let's explore that further. We're going in circles on this topic. We're going in circles on this topic. I'm concerned about the timeline here. This is exactly what we need. Well done. We're making great progress on this. I'm not sure this is the right approach. We have three items on the agenda today. That's a really innovative approach. This solution addresses our concerns perfectly. I agree with this a...,1401,35,0.498,0.194,1,1,0.813,21.5,0.903,2,3,1,3.9,0.597,79.8
MTG00344,Status Update,2025-07-31,53,5,I'll send out the meeting notes later. Let's move to the next topic. I disagree with this direction completely. I'm not sure this is the right approach. We should schedule a follow-up meeting. We're going in circles on this topic. We have three items on the agenda today. The deadline for this is next Friday. I'm not sure this is the right approach. This meeting could have been an email. Can everyone see the presentation? That's a really innovative approach. We have three items on the agenda toda...,987,25,0.468,0.203,1,0,0.629,10.6,0.899,2,7,1,3.8,0.583,68.6
MTG00345,Planning,2025-10-08,61,14,That's a really innovative approach. The deadline for this is next Friday. Let me share my screen to show the data. I'm excited about this direction. Let's move forward. I'm concerned about the timeline here. I'm concerned about the timeline here. This meeting could have been an email. We should have resolved this weeks ago. We've discussed this several times already. The project timeline is on track. This meeting could have been an email. Let's move to the next topic. This seems like a waste of...,1409,35,0.432,0.165,1,1,0.316,4.36,0.917,4,2,3,3.7,0.523,64.3
MTG00346,Retrospective,2025-09-29,63,3,This seems like a waste of time honestly. The deadline for this is next Friday. Let me share my screen to show the data. Here are the key metrics from last week. I don't think we have enough information to decide. This is exactly what we need. Well done. I'm not sure this is the right approach. Let me share my screen to show the data. Can everyone see the presentation? I'll send out the meeting notes later. We have three items on the agenda today. Let's move to the next topic. This is exactly wh...,1230,30,0.548,0.242,1,0,0.607,21.0,0.879,1,2,0,3.8,0.446,63.3
MTG00347,Planning,2025-08-18,82,4,That's a really innovative approach. I'll send out the meeting notes later. We have three items on the agenda today. We should have resolved this weeks ago. Let me share my screen to show the data. I'll send out the meeting notes later. I'm concerned about the timeline here. Great idea! Let's explore that further. We're going in circles on this topic. That's a really innovative approach. I think we've reached a good decision here. We have three items on the agenda today. I'll take the action ite...,1544,39,0.462,0.21,0,1,0.749,20.5,0.895,4,1,2,3.6,0.505,53.4
MTG00348,One-on-One,2025-08-30,7,2,Can everyone see the presentation? I appreciate everyone's input today. I don't think we have enough information to decide. I'll take the action item to follow up. Here are the key metrics from last week. That's a really innovative approach. We're going in circles on this topic. Let me share my screen to show the data. The deadline for this is next Friday. I disagree with this direction completely. This meeting could have been an email. We have three items on the agenda today. We're going in cir...,649,16,0.47,0.205,1,0,0.599,3.5,0.897,0,3,1,3.1,0.608,63.8
MTG00349,Standup,2025-06-18,12,3,I'll send out the meeting notes later. Excellent point. I hadn't considered that. This meeting could have been an email. That's a really innovative approach. Let's move to the next topic. This solution addresses our concerns perfectly. I'm excited about this direction. Let's move forward. We're making great progress on this. I'm excited about this direction. Let's move forward. I'll take the action item to follow up. I don't think we have enough information to decide. This solution addresses our...,563,13,0.544,0.173,1,0,0.861,4.0,0.914,3,5,3,4.1,0.57,76.1
MTG00350,One-on-One,2025-06-07,42,2,Great idea! Let's explore that further. The deadline for this is next Friday. Great idea! Let's explore that further. Here are the key metrics from last week. We should schedule a follow-up meeting. Let me share my screen to show the data. Great idea! Let's explore that further. This doesn't align with our objectives. This seems like a waste of time honestly. The project timeline is on track. We should have resolved this weeks ago. I appreciate everyone's input today. That's a really innovative ...,950,24,0.522,0.24,1,1,0.583,21.0,0.88,2,4,3,3.6,0.703,76.2
MTG00351,Standup,2025-05-13,19,9,We have three items on the agenda today. We should schedule a follow-up meeting. I don't think we have enough information to decide. I'm concerned about the timeline here. We should schedule a follow-up meeting. Let me share my screen to show the data. I'll take the action item to follow up. Let me share my screen to show the data. Can everyone see the presentation? I don't think we have enough information to decide. I'm concerned about the timeline here....,459,11,0.512,0.28,0,1,0.789,2.11,0.86,5,4,1,3.6,0.471,60.8
MTG00352,Retrospective,2025-06-03,55,4,We're going in circles on this topic. I'll take the action item to follow up. I'll take the action item to follow up. We should schedule a follow-up meeting. This solution addresses our concerns perfectly. Let me share my screen to show the data. We're going in circles on this topic. We should have resolved this weeks ago. Here are the key metrics from last week. I'll take the action item to follow up. Let me share my screen to show the data. I'll take the action item to follow up. I'll send out...,1345,33,0.464,0.189,0,1,0.586,13.75,0.905,2,1,2,3.4,0.451,49.5
MTG00353,All-Hands,2025-08-29,55,41,I'm not sure this is the right approach. That's a really innovative approach. This meeting could have been an email. Can everyone see the presentation? The project timeline is on track. We should schedule a follow-up meeting. Let me share my screen to show the data. I appreciate everyone's input today. I'm not sure this is the right approach. Let's move to the next topic. This seems like a waste of time honestly. I'll send out the meeting notes later. Can everyone see the presentation? We have t...,1019,26,0.495,0.216,0,0,0.879,1.34,0.892,13,4,3,2.4,0.507,53.2
MTG00354,Decision-Making,2025-11-06,64,4,Excellent point. I hadn't considered that. Let's move to the next topic. I agree with this approach. It makes sense. Here are the key metrics from last week. Great idea! Let's explore that further. Excellent point. I hadn't considered that. This seems like a waste of time honestly. I agree with this approach. It makes sense. I'll take the action item to follow up. I'll take the action item to follow up. This is exactly what we need. Well done. This solution addresses our concerns perfectly. I'm ...,1317,32,0.585,0.188,1,0,0.802,16.0,0.906,1,4,1,4.0,0.657,73.3
MTG00355,One-on-One,2025-10-14,47,2,We're making great progress on this. Here are the key metrics from last week. We've discussed this several times already. I agree with this approach. It makes sense. Great idea! Let's explore that further. Great idea! Let's explore that further. I'll send out the meeting notes later. Let's move to the next topic. We have three items on the agenda today. The deadline for this is next Friday. Let me share my screen to show the data. We should have resolved this weeks ago. Great idea! Let's explore...,1193,30,0.583,0.192,1,1,0.945,23.5,0.904,1,4,3,5.0,0.67,86.8
MTG00356,Planning,2025-07-14,16,6,We should schedule a follow-up meeting. This seems like a waste of time honestly. Here are the key metrics from last week. I think we've reached a good decision here. I agree with this approach. It makes sense. This solution addresses our concerns perfectly. Great idea! Let's explore that further. We should schedule a follow-up meeting. That's a really innovative approach. Let's move to the next topic. I think we've reached a good decision here. I'll take the action item to follow up. I agree wi...,661,16,0.617,0.168,1,0,0.731,2.67,0.916,2,3,1,3.6,0.585,70.4
MTG00357,Retrospective,2025-06-09,53,7,I think we've reached a good decision here. This is exactly what we need. Well done. That's a really innovative approach. Can everyone see the presentation? Let's move to the next topic. I appreciate everyone's input today. We should schedule a follow-up meeting. I think we've reached a good decision here. We're making great progress on this. The deadline for this is next Friday. Excellent point. I hadn't considered that. This is exactly what we need. Well done. Let me share my screen to show th...,969,25,0.574,0.198,1,1,0.916,7.57,0.901,1,4,2,4.5,0.627,85.9
MTG00358,One-on-One,2025-08-20,25,2,I don't think we have enough information to decide. Can everyone see the presentation? I don't think we have enough information to decide. Let me share my screen to show the data. I disagree with this direction completely. Here are the key metrics from last week. This is exactly what we need. Well done. Let me share my screen to show the data. I'll take the action item to follow up. The project timeline is on track. That's a really innovative approach. Let me share my screen to show the data. I ...,893,22,0.594,0.197,1,1,0.595,12.5,0.901,0,6,0,3.5,0.77,80.3
MTG00359,Decision-Making,2025-06-12,84,7,Let's move to the next topic. I think we've reached a good decision here. Can everyone see the presentation? I'll send out the meeting notes later. This solution addresses our concerns perfectly. The deadline for this is next Friday. I agree with this approach. It makes sense. We should have resolved this weeks ago. I'm not sure this is the right approach. We should schedule a follow-up meeting. Excellent point. I hadn't considered that. I'm not sure this is the right approach. I'll take the act...,1661,42,0.538,0.198,0,0,0.704,12.0,0.901,2,4,4,2.8,0.433,49.9
MTG00360,Brainstorming,2025-09-24,43,7,Can everyone see the presentation? This is exactly what we need. Well done. This solution addresses our concerns perfectly. The project timeline is on track. I'm concerned about the timeline here. The deadline for this is next Friday. I'll take the action item to follow up. Great idea! Let's explore that further. The deadline for this is next Friday. We're going in circles on this topic. We've discussed this several times already. I'm not sure this is the right approach. The deadline for this is...,900,22,0.484,0.235,1,1,0.46,6.14,0.882,1,4,2,4.0,0.564,72.4
MTG00361,Standup,2025-06-26,18,3,I'll send out the meeting notes later. We have three items on the agenda today. We have three items on the agenda today. The deadline for this is next Friday. The deadline for this is next Friday. I'm concerned about the timeline here. Excellent point. I hadn't considered that. The project timeline is on track. I'll send out the meeting notes later. Let's move to the next topic. Let's move to the next topic. This meeting could have been an email. I'll send out the meeting notes later. I'm concer...,763,20,0.491,0.203,0,1,0.493,6.0,0.898,0,2,5,2.6,0.408,49.6
MTG00362,Standup,2025-08-16,10,3,Let me share my screen to show the data. Can everyone see the presentation? The deadline for this is next Friday. The project timeline is on track. Here are the key metrics from last week. We should schedule a follow-up meeting. Excellent point. I hadn't considered that. I agree with this approach. It makes sense. We should have resolved this weeks ago. Here are the key metrics from last week. I agree with this approach. It makes sense....,440,11,0.519,0.2,1,1,0.617,3.33,0.9,0,2,2,4.2,0.577,73.3
MTG00363,Standup,2025-06-30,8,7,That's a really innovative approach. Let's move to the next topic. We should schedule a follow-up meeting. That's a really innovative approach. We're making great progress on this. The deadline for this is next Friday. Let's move to the next topic. Let's move to the next topic. The project timeline is on track. We should schedule a follow-up meeting. We should schedule a follow-up meeting. We should have resolved this weeks ago. Can everyone see the presentation?...,467,13,0.498,0.189,1,1,0.672,1.14,0.905,0,2,3,3.9,0.632,74.3
MTG00364,Status Update,2025-05-28,15,10,Let me share my screen to show the data. I'll take the action item to follow up. Excellent point. I hadn't considered that. I'll take the action item to follow up. We should schedule a follow-up meeting. I'll take the action item to follow up. I'll send out the meeting notes later. Excellent point. I hadn't considered that. We're going in circles on this topic. I appreciate everyone's input today. I'll send out the meeting notes later. Here are the key metrics from last week. The deadline for th...,743,19,0.532,0.203,1,1,0.445,1.5,0.898,0,3,3,3.9,0.574,71.2
MTG00365,Brainstorming,2025-07-17,28,7,I don't think we have enough information to decide. Excellent point. I hadn't considered that. I think we've reached a good decision here. Let me share my screen to show the data. We should have resolved this weeks ago. I disagree with this direction completely. This meeting could have been an email. Let's move to the next topic. I'll send out the meeting notes later. We should have resolved this weeks ago. We should schedule a follow-up meeting. This seems like a waste of time honestly. I appre...,908,22,0.431,0.193,0,1,0.71,4.0,0.904,3,1,0,3.0,0.468,51.9
MTG00366,Brainstorming,2025-05-26,34,5,Let's move to the next topic. We've discussed this several times already. Can everyone see the presentation? The project timeline is on track. I disagree with this direction completely. The project timeline is on track. I agree with this approach. It makes sense. We're going in circles on this topic. I'll take the action item to follow up. We have three items on the agenda today. We have three items on the agenda today. We have three items on the agenda today. Let's move to the next topic. I'm n...,657,17,0.518,0.194,1,0,0.439,6.8,0.903,3,3,2,3.6,0.438,60.9
